package,lead_minutes,run_type,event_seed,timing_seed,seed_label,arm,task,n_trees,configured_max_depth,configured_min_leaf,measured_max_depth,measured_mean_depth,measured_min_depth,measured_total_leaves,measured_mean_leaves,measured_max_leaves,used_feature_count,occupied_train_leaves,training_rows
np025,720,robust,43,45,event43_timing45,weather_raw72,state,150,16,32,16,16.0,16,58387,389.24666666666667,425,72,58387,21002
np025,720,robust,43,45,event43_timing45,weather_raw72,downward_timing,100,16,16,16,16.0,16,32213,322.13,351,72,32213,7337
np025,720,robust,43,45,event43_timing45,joint_raw88,state,150,16,32,16,16.0,16,60528,403.52,447,88,60528,21002
np025,720,robust,43,45,event43_timing45,joint_raw88,downward_timing,100,16,16,16,16.0,16,32324,323.24,351,88,32324,7337
np025,720,robust,43,45,event43_timing45,weather_summary20,state,150,16,32,16,15.986666666666666,15,61842,412.28,454,20,61842,21002
np025,720,robust,43,45,event43_timing45,weather_summary20,downward_timing,100,16,16,16,16.0,16,32015,320.15,343,20,32015,7337
np025,720,robust,43,45,event43_timing45,weather_projection20,state,150,16,32,16,16.0,16,62596,417.3066666666667,454,20,62596,21002
np025,720,robust,43,45,event43_timing45,weather_projection20,downward_timing,100,16,16,16,15.95,14,32710,327.1,344,20,32710,7337
np025,720,robust,43,45,event43_timing45,noise20,state,150,16,32,16,15.92,14,69227,461.5133333333333,489,20,69227,21002
np025,720,robust,43,45,event43_timing45,noise20,downward_timing,100,16,16,16,15.97,14,31635,316.35,340,20,31635,7337
np025,720,robust,43,45,event43_timing45,power_weather_summary40,state,150,16,32,16,15.973333333333333,15,64568,430.4533333333333,457,40,64568,21002
np025,720,robust,43,45,event43_timing45,power_weather_summary40,downward_timing,100,16,16,16,16.0,16,32081,320.81,350,40,32081,7337
