package,lead_minutes,run_type,event_seed,timing_seed,seed_label,comparison,candidate,reference,task,metric,valid_windows,blocks,candidate_score,reference_score,difference,reduction_pct,difference_low,difference_high,reduction_low,reduction_high
np025,15,robust,42,44,event42_timing44,joint_vs_power,joint_raw88,power20,state,return_brier,6996,12,0.16335155564369958,0.15975257725996245,0.003598978383737128,-2.25284527202374,-0.000670299703180198,0.008046526996807019,-4.848800067341038,0.4294566233855246
np025,15,robust,42,44,event42_timing44,joint_vs_power,joint_raw88,power20,state,multiclass_brier,6996,12,0.5603233207882379,0.5743616892103763,-0.014038368422138459,2.44416866337972,-0.02866707039285384,-0.0019377691609325407,0.3548055236042028,5.072542244986701
np025,15,robust,42,44,event42_timing44,joint_vs_power,joint_raw88,power20,downward_timing,conditional_rps,2653,10,0.15367159779616962,0.15493932078470318,-0.0012677229885335595,0.8182061094066162,-0.004557831973880374,0.002407832845727239,-1.489139541100442,2.9745190339902967
np025,15,robust,42,44,event42_timing44,joint_vs_power,joint_raw88,power20,downward_timing,conditional_median_mae_minutes,2653,10,50.33735393893705,51.145872597059935,-0.8085186581228854,1.58080919743534,-1.7576936847804385,0.16838901796202507,-0.3180915397636014,3.465174548970753
np025,15,robust,42,44,event42_timing44,weather_summary20_vs_noise20,weather_summary20,noise20,state,return_brier,6996,12,0.1705386323287987,0.2086577943774764,-0.038119162048677685,18.268745800944053,-0.05499986875403132,-0.02210455267545838,12.933528372757321,23.107507535945494
np025,15,robust,42,44,event42_timing44,weather_summary20_vs_noise20,weather_summary20,noise20,state,multiclass_brier,6996,12,0.6074573467328294,0.8546289197699176,-0.24717157303708825,28.921508191371704,-0.3160620845871543,-0.17156344813096638,23.572426792661552,32.95956029878028
np025,15,robust,42,44,event42_timing44,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_rps,2653,10,0.1672390561981051,0.1678278806501567,-0.0005888244520515784,0.35085019829274033,-0.0025659284344060214,0.0016162035156570915,-0.976938021137872,1.4929811805895683
np025,15,robust,42,44,event42_timing44,weather_summary20_vs_noise20,weather_summary20,noise20,downward_timing,conditional_median_mae_minutes,2653,10,55.736901620806634,56.27402940067848,-0.5371277798718452,0.9544860845976166,-1.7257320451048936,0.5537309947351357,-1.010215147083701,2.988270393206565
np025,15,robust,42,44,event42_timing44,weather_projection20_vs_noise20,weather_projection20,noise20,state,return_brier,6996,12,0.17815270640316994,0.2086577943774764,-0.030505087974306455,14.619673358149587,-0.04572534988498669,-0.01476180278392161,8.976817096956303,19.069216726381523
np025,15,robust,42,44,event42_timing44,weather_projection20_vs_noise20,weather_projection20,noise20,state,multiclass_brier,6996,12,0.6247925952847169,0.8546289197699176,-0.22983632448520075,26.893113393246402,-0.3058788210736231,-0.1464733690988353,20.72626908686267,31.538999883263525
